AA Ron Property Services	aaronpropertyservices951@gmail.com	9515413566
155	Temeku Hills MA	fsresidentialapca@avidbill.com	
156	The Arbors HOA		
157	The Bluffs at Temecula Valley Wine Country	FSResidentialAPCA@avidbill.com	
158	The Farm in Temecula		
159	The Oaks of Wildomar HOA		
160	The Overlook HOA		
161	The Resort at Pelican Hill		
162	The Retreat at Corona Ranch		
163	The Ridge at Serrano HOA		
164	The Springs at Borrego		
165	The Vintage at Murrieta		
166	Thornton HOA		
167	Tierra Del Sol HOA		
168	Toscana HOA		
169	Traditions Golf Club		
170	Trilogy at Glen Ivy		
171	Trilogy at Monarch Dunes		
172	Trilogy at the Polo Club		
173	Tustin Ranch Golf Club		
174	Valley Wide Recreation		
175	Verde at Tres Lagos		
176	Via Montecito HOA		
177	Villas at Old School House		
178	Vista Pacifica HOA		
179	Walden Park HOA		
180	Waterstone HOA		
181	West Hills HOA		
182	Westgate Apartments		
183	Westridge HOA		
184	Wildhorse Ranch		
185	Willow Springs		
186	Winchester Hills HOA		
187	Windrose at Baker Ranch		
188	Woodcrest Country Club		
189	Woodview Patio Homes Association - Repairs	weston.andrew@fsresidential.com
